,comment,rate
0,"kaliteli, bir batarya üc kez telefon sarj edebiliyor.",5
1,Kullanışlı sade güzell bir ürün şarjı güzel gidiyor,5
2,"Çok başarılı, sağlam ürün. Uzun süre şarj ediyo",5
3,Müthiş bir cihaz harika ben telefonumu 2-3 defa şarj edebiliyorum (ı phone xr) aşırı memnunun teşekkürler,5
4,Güzel ürün 4-5 kez şarj ediyor,5
5,Ürün çok iyi 4 sefer full şarj ediyor,5
6,ürün çok hoşuma gitti uzun süre şarj edebiliyorum...,5
7,Çık güzel kullanışlı şarj konusunda başarılı,4
8,Gayet güzel kullanışlı telefonunuzu 2 3 defa şarz edebiliyor,5
9,Çok iyi. iPhone 6s 2 kere tam şarj ediyor.,5
10,Çok yavaş şarj ediyor.,1
11,Hafif ve 3-4 defa sarj ediyor,5
12,samsung telefonu 3 kez full şarj ediyor beğendim,5
13,Fiyatına göre gayet iyi bir powerbank. iPhone 6s var bende 3 kereden fazla tekrar sarj edebiliyor.,5
14,Cok yavas sarj ediyor,2
15,Ürun gayet basarılı Huawei p20liteyi ikikez şarj ettı,3
16,Ürün çok güzel teli 4 kere şarz edebiliyor,5
17,gerçekten çok kullanışlı 3-4 defa şarj ediyo fakat biraz ağır,3
18,cidden uzun sure gidiyor sarji memnunum,4
19,Çok iyi şarj ediyor,5
20,Gayet uzun idare ediyor sarjı,5
21,çok iyi.. telefonumu en az iki defa sıfırdan şarj ediyor,5
22,Muhteşem şarj ediyor,5
23,"gerçekten çok güzel bir ürün, telefonu hızlı ve üç kez şarj ediyor.",5
24,harika bir ürün şarj i telefonun iyi gidiyor,5
25,sarji iyi dayaniyor,5
26,çok iyi uzun süre gidiyor şarjı,5
27,çok memnun kaldık en az 4 kere telf şarz ediyor,5
28,süper bir ürün en az 3 defa şarj ediyor daha ne olsun.Trendyol güvencesi ile gözüm kapalı aldım teşekkürler,5
29,Göründüğü gibi ve iyi şarj edıyor,5
30,Urun kalitesi gayet başarılı 3 den fazla şarj etme özelliği var. tavsiye ederim,5
31,Baya iyi telefonumu 2 defa sarj ediyor,5
32,3 defa telefonu hızlı bir şekilde şarj ediyor,5
33,Aynı anda 2 telefonu hızlı bir şekilde şarj ediyor.daha ne isteyeyim,5
34,been bu ürünü yaklasik4 ay önce aldım paketlemesi falan çok güzel geldi ama artık ısınmaya ve yavaş şarz etmeye başladı ara kablosunu da değiştim ama yavaş şarz ediyor sabah takıyorum akşama doluyor ancak ama yine olsa yine alırım sanirim,4
35,Cok iyi 3 kez sarj ediyor,5
36,Görünüşü vede kullanımı iyi benim telefonumu 3 kez sarj etti  vede hızlı teslimat teşekkürler.,5
37,şarjı cok ıyi gidiyor memnun kaldım gayet,4
38,Sahlam cok uzun sure götürüyor dolduruyoe sarji,5
39,Alınabilecek en iyi ürünlerden biri  kapasite mükemmel şarj konusunda tek kurtarıcım oldu diyebilirim. uzun süre dayanıyor şiddetle tavsiye edilir.,5
40,Sarj konusunda çok basarili,5
41,çok güzel 3defa şarj dolduruyor,5
42,begendim ürünü gayet iyi şarj ediyr,4
43,Çok güzel ve kısa sürede şarz oluyor 👍,5
44,Çok iyi iphone 7 kullanıyorum 3 4 kere hızlı bir  şekilde sarj ediyor,5
45,şık tasarım güzel ürün çabuk şarz ediyor,5
46,1 saatte % 10 şarj ediyor ben beğenmedim malesef,1
47,"Şık bir tasarım ne büyük ne küçük, şarj performansından sonra güncelleme yapıcam.",4
48,gayet iyi kullanmadığın zaman şarjını bitirmiyor.,5
49,"suan bile onla şarj  ediyorum,  iyi ya beyler guzel tavsiye  ederim",5
50,Gerçekten kaliteli bir ürün. Şarj olması biraz usun sürüyor ama uzun bir süre de gidiyor. 👍🏼,4
51,kendi sarj kablosuyla bi zaman sonra şarj almadı başka bir kablo kullandım. Aralık’tan bu yana kullanıyorum geceden şarja bırakıyorum sabah alıp kıllanıyorum anca doluyor ve uzun vadede kullanabiliyorum ben gayet memnunum,5
52,Şarjı çok çabuk dolduruyor,4
53,"Ürün çok güzel ve çok kaliteli,şarj ayarı  yavaş bitip yavaş doluyor mutlu eder ama mutsuz etmez",4
54,iyi şarj ediyo ama tam kapasitesini cikarmadim,4
55,Çok hafif bir ürün değil fakat şarj etmesi gerçekten başarılı,5
56,Çok geç sarj etse de güzel ancak çok ağır,4
57,İnanılmaz güzel 3 kere falan şarj edıyor,5
58,çok kullanışlı telefonu 2 ..3 defa şarj ediyor.,4
